day,hour,demand
74,1768,2564
74,1769,2501
74,1770,2455
74,1771,2455
74,1772,2614
74,1773,2555
74,1774,2301
74,1775,1975
74,1776,1762
75,1777,1641
75,1778,1528
75,1779,1482
75,1780,1531
75,1781,1678
75,1782,1929
75,1783,2305
75,1784,2645
75,1785,2856
75,1786,3063
75,1787,3183
75,1788,3010
75,1789,2788
75,1790,2707
75,1791,2631
75,1792,2548
75,1793,2476
75,1794,2435
75,1795,2443
75,1796,2552
75,1797,2484
75,1798,2240
75,1799,1998
75,1800,1767
76,1801,1626
76,1802,1529
76,1803,1473
76,1804,1508
76,1805,1627
76,1806,1817
76,1807,2055
76,1808,2314
76,1809,2559
76,1810,2801
76,1811,2932
76,1812,2784
76,1813,2564
76,1814,2467
76,1815,2387
76,1816,2294
76,1817,2233
76,1818,2217
76,1819,2254
76,1820,2393
76,1821,2345
76,1822,2133
76,1823,1910
76,1824,1707
77,1825,1580
77,1826,1490
77,1827,1447
77,1828,1479
77,1829,1609
77,1830,1782
77,1831,2000
77,1832,2221
77,1833,2436
77,1834,2630
77,1835,2722
77,1836,2574
77,1837,2357
77,1838,2272
77,1839,2200
77,1840,2141
77,1841,2107
77,1842,2177
77,1843,2237
77,1844,2451
77,1845,2468
77,1846,2303
77,1847,2078
77,1848,1830
78,1849,1656
78,1850,1575
78,1851,1633
78,1852,1736
78,1853,1916
78,1854,2131
78,1855,2474
78,1856,2770
78,1857,2859
78,1858,2905
78,1859,2859
78,1860,2908
78,1861,2860
78,1862,2771
78,1863,2656
78,1864,2539
78,1865,2428
78,1866,2350
78,1867,2373
78,1868,2581
